Incident Energy (MeV/amu),Stopping Power (KeV/um/Z^2),Percent Energy Loss (%)
1.25,69.87397784166376,19.55199522277343
1.519621206739751,60.71360822586732,13.974501540326735
1.8473988895785418,52.64234475367952,9.966901687131486
2.2458772239288156,45.55994884571281,7.09549738873482
2.7303061257728234,39.350369750844415,5.041074336515894
3.3192248716926662,33.925791065865084,3.5750237776905016
4.035171603969764,29.199104612793565,2.5310058734402388
4.905545873781208,25.074297729027638,1.787833474854107
5.963657232346084,21.507870743367018,1.261450959690395
7.25,18.4237477137858,0.8888441103303721
