Incident Energy (MeV/amu),Stopping Power (KeV/um/Z^2),Percent Energy Loss (%)
1.5,68.20791447947767,20.63630894783217
1.7937197617506029,58.35431048857927,14.76409592905813
2.144953722463093,50.175715163559175,10.61607930051451
2.5649639200150456,43.30155604115433,7.661446123289522
3.0672176476721864,37.40127103644674,5.5338868691646
3.667819272146533,32.35007643093135,4.002726277639977
4.386026607319299,27.993060822860848,2.8964606664744177
5.244868400741719,24.221959809993102,2.095864457677989
6.271882732127801,20.9585887001908,1.5165356179775011
7.5,18.132120620095563,1.0971748538308796
