Incident Energy (MeV/amu),Stopping Power (KeV/um/Z^2),Percent Energy Loss (%)
1.0,96.44042428616183,33.48625843269508
1.2413658170152087,78.75047247884879,22.027281306088053
1.5409890916538365,65.2967455657335,14.712940683363454
1.9129311827723892,54.553464070704905,9.902172746798783
2.3746473805961164,45.7392058206382,6.688011372760013
2.9478060857367225,38.415497988529935,4.524963376624901
3.6593057100229713,32.296869276747834,3.0645678742765114
4.542537022431083,27.142868600702375,2.074745259418443
5.638950182171995,22.804127408461472,1.4041797743910562
7.0,19.150580969296296,0.9499296115722369
