Incident Energy (MeV/amu),Stopping Power (KeV/um/Z^2),Percent Energy Loss (%)
0.3125,123.29875480127423,94.631885645766
0.4875,215.32569295379918,105.93758259516142
0.7375,255.84468087576622,83.20380597192224
